Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Bug time (wall=CPU) (usecs),Completion time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Elapsed time in completed max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
rwlock_downgrade_read_test,arsenic,ls-id-log-20160430042555.log.tMH0EF.gz,1,0,27035349,,1,10,,,,landslide-trace-1462004770.81.html
rwlock_downgrade_read_test,barium,ls-id-log-20160429181829.log.u6GYWD.gz,0,1,,,9,,,9.30%,36d 3h 44s,
rwlock_downgrade_read_test,beryllium,ls-id-log-20160430060405.log.lycXr3.gz,1,0,42121525,,1,16,,,,landslide-trace-1462010661.35.html
rwlock_downgrade_read_test,boron,ls-id-log-20160430112054.log.z1g8xu.gz,1,0,21354636,,1,2,,,,landslide-trace-1462029667.44.html
rwlock_downgrade_read_test,bromine,ls-id-log-20160429191940.log.PwaHFJ.gz,0,1,,,4,,,29.69%,10h 8m 49s,
rwlock_downgrade_read_test,cadmium,ls-id-log-20160518173400.log.X2058h.gz,0,1,,,8,,,79.32%,7h 2m 13s,
rwlock_downgrade_read_test,caesium,ls-id-log-20160430131339.log.gFyK2g.gz,1,0,74476609,,2,19,,,,landslide-trace-1462036437.36.html
rwlock_downgrade_read_test,calcium,ls-id-log-20160429182717.log.DMt3Mx.gz,1,0,44111591,,1,15,,,,landslide-trace-1461968852.83.html
rwlock_downgrade_read_test,carbon,ls-id-log-20160503023034.log.KcuwUg.gz,1,0,22765230,,1,12,,,,landslide-trace-1462257045.84.html
rwlock_downgrade_read_test,cerium,ls-id-log-20160429182356.log.L0natM.gz,0,0,,2827260119,9,1160,8m 47s,,,
rwlock_downgrade_read_test,chlorine,ls-id-log-20160505231310.log.7fIIT1.gz,0,1,,,6,,,0.13%,29d 14h 16m 53s,
rwlock_downgrade_read_test,chromium,ls-id-log-20160505230949.log.lakElB.gz,0,1,,,6,,,0.10%,66d 8h 32m 34s,
rwlock_downgrade_read_test,cobalt,ls-id-log-20160430042340.log.6V8whf.gz,0,1,,,7,,,56.76%,20h 16m 50s,
rwlock_downgrade_read_test,copper,ls-id-log-20160430042348.log.ZFA4xs.gz,1,0,29910963,,1,6,,,,landslide-trace-1462004643.91.html
rwlock_downgrade_read_test,dysprosium,ls-id-log-20160430142521.log.92PGSz.gz,1,0,34399072,,1,9,,,,landslide-trace-1462040736.55.html
rwlock_downgrade_read_test,erbium,ls-id-log-20160430011309.log.wzWC68.gz,0,1,,,8,,,44.86%,3h 14m 46s,
rwlock_downgrade_read_test,europium,ls-id-log-20160430072559.log.nMjuWR.gz,0,1,,,5,,,0.42%,11y 85d 8h 24m 23s,
rwlock_downgrade_read_test,fluorine,ls-id-log-20160517034956.log.dD2gDT.gz,1,0,5009228270,,3,15279,,,,landslide-trace-1463471407.12.html
rwlock_downgrade_read_test,gadolinium,ls-id-log-20160503023025.log.pI0Owm.gz,0,1,,,5,,,8.59%,9y 50d 18h 49m 59s,
rwlock_downgrade_read_test,gallium,ls-id-log-20160430043011.log.osBzxu.gz,0,1,,,4,,,66.58%,4h 16m 58s,
rwlock_downgrade_read_test,germanium,ls-id-log-20160430114809.log.iaNzAT.gz,0,0,,11667497377,12,4032,25m 37s,,,
rwlock_downgrade_read_test,gold,ls-id-log-20160429182308.log.3tvuhA.gz,1,0,25122265,,1,2,,,,landslide-trace-1461968602.31.html
rwlock_downgrade_read_test,hafnium,ls-id-log-20160517165410.log.dTzApc.gz,0,1,,,8,,,97.72%,8m 3s,
rwlock_downgrade_read_test,helium,ls-id-log-20160517034951.log.vOquEu.gz,1,0,233873877,,1,9,,,,landslide-trace-1463471401.17.html
rwlock_downgrade_read_test,holmium,ls-id-log-20160430042351.log.ZD8zLq.gz,0,1,,,6,,,3.78%,3d 5h 12m 53s,
rwlock_downgrade_read_test,hydrogen,ls-id-log-20160429182427.log.W0cAqV.gz,0,1,,,1,,,0.00%,INF,
rwlock_downgrade_read_test,indium,ls-id-log-20160505224100.log.VlrqHZ.gz,1,0,31844453,,1,7,,,,landslide-trace-1462502475.86.html
rwlock_downgrade_read_test,iodine,ls-id-log-20160430072559.log.xGv2Mm.gz,1,0,61513352,,1,2,,,,landslide-trace-1462015604.34.html
rwlock_downgrade_read_test,iridium,ls-id-log-20160503023023.log.4iVPT2.gz,0,1,,,8,,,0.93%,16h 35m 50s,
rwlock_downgrade_read_test,iron,ls-id-log-20160505224123.log.ArF008.gz,1,0,32178628,,1,4,,,,landslide-trace-1462502498.43.html
rwlock_downgrade_read_test,kyrpton,ls-id-log-20160430042531.log.DMgthR.gz,0,1,,,6,,,75.63%,1h 51m 33s,
rwlock_downgrade_read_test,lanthanum,ls-id-log-20160505224052.log.qX9peL.gz,0,1,,,1,,,50.00%,10h 56s,
rwlock_downgrade_read_test,lithium,ls-id-log-20160429181834.log.IsU6n4.gz,0,1,,,3,,,50.00%,6651867827y 244d 8h 43m 31s,
rwlock_downgrade_read_test,lutetium,ls-id-log-20160517034936.log.E9gAue.gz,0,1,,,8,,,21.75%,13h 51m 31s,
rwlock_downgrade_read_test,magnesium,ls-id-log-20160503023155.log.3qZOZx.gz,0,1,,,12,,,28.13%,1h 8m 16s,
rwlock_downgrade_read_test,manganese,ls-id-log-20160430174302.log.1fsykZ.gz,1,0,51217336,,1,2,,,,landslide-trace-1462052625.27.html
rwlock_downgrade_read_test,molybdenum,ls-id-log-20160517165423.log.z2XxDi.gz,0,1,,,8,,,27.15%,2d 18h 56m 13s,
rwlock_downgrade_read_test,neodymium,ls-id-log-20160518015850.log.l692Xl.gz,0,1,,,9,,,66.49%,2h 36m 28s,
rwlock_downgrade_read_test,neon,ls-id-log-20160503023159.log.NHqNoF.gz,0,1,,,6,,,28.13%,1d 20h 19m 18s,
rwlock_downgrade_read_test,nickel,ls-id-log-20160505224049.log.mcE7hY.gz,0,1,,,5,,,18.80%,24d 11h 28m 4s,
rwlock_downgrade_read_test,niobium,ls-id-log-20160505224047.log.x4LpA0.gz,0,1,,,11,,,23.23%,1h 31m 9s,
rwlock_downgrade_read_test,nitrogen,ls-id-log-20160429181834.log.oD7klW.gz,0,0,,15295317522,11,5124,41m 19s,,,
rwlock_downgrade_read_test,osmium,ls-id-log-20160505224111.log.HtxKlR.gz,0,1,,,6,,,0.00%,21d 13h 25m 0s,
rwlock_downgrade_read_test,oxygen,ls-id-log-20160505224103.log.zhANFN.gz,0,1,,,5,,,25.26%,6d 3h 33m 10s,
rwlock_downgrade_read_test,palladium,ls-id-log-20160429181908.log.4PNhSa.gz,0,1,,,5,,,85.97%,4d 7h 52m 11s,
rwlock_downgrade_read_test,phosphorus,ls-id-log-20160430072600.log.9qNbry.gz,0,1,,,5,,,0.16%,42y 41d 11h 52m 26s,
rwlock_downgrade_read_test,platinum,ls-id-log-20160503022959.log.vVctF6.gz,0,1,,,5,,,78.13%,1d 6h 8m 41s,
rwlock_downgrade_read_test,potassium,ls-id-log-20160517165419.log.soj6om.gz,0,1,,,4,,,0.00%,26703y 314d 4h 34m 31s,
rwlock_downgrade_read_test,praseodymium,ls-id-log-20160430180602.log.wkXrap.gz,1,0,30416861,,1,2,,,,landslide-trace-1462053977.22.html
rwlock_downgrade_read_test,promethium,ls-id-log-20160505224217.log.bKdJLB.gz,0,1,,,6,,,7.45%,2d 17h 6m 42s,
rwlock_downgrade_read_test,rhenium,ls-id-log-20160430154355.log.OeRaR8.gz,0,0,,160657860,7,80,37s,,,
rwlock_downgrade_read_test,rhodium,ls-id-log-20160429232418.log.8Z0wV6.gz,0,1,,,14,,,64.38%,19m 28s,
rwlock_downgrade_read_test,rubidium,ls-id-log-20160503023034.log.uYgIeP.gz,0,0,,18102531463,14,6516,41m 26s,,,
rwlock_downgrade_read_test,ruthenium,ls-id-log-20160429182346.log.yxom5h.gz,1,0,23456879,,1,3,,,,landslide-trace-1461968637.44.html
rwlock_downgrade_read_test,samarium,ls-id-log-20160503023019.log.tflGe4.gz,1,0,25437759,,2,12,,,,landslide-trace-1462257031.0.html
rwlock_downgrade_read_test,scandium,ls-id-log-20160430142625.log.1b1cbi.gz,1,0,363240410,,3,114,,,,landslide-trace-1462040800.0.html
rwlock_downgrade_read_test,selenium,ls-id-log-20160430033641.log.1hjoFb.gz,1,0,31396281,,1,5,,,,landslide-trace-1462001816.08.html
rwlock_downgrade_read_test,silicon,ls-id-log-20160430052341.log.APKoFv.gz,1,0,42123155,,1,19,,,,landslide-trace-1462008236.55.html
rwlock_downgrade_read_test,silver,ls-id-log-20160429182801.log.tePMVY.gz,0,1,,,10,,,86.18%,52m 27s,
rwlock_downgrade_read_test,sodium,ls-id-log-20160429181813.log.hWdUo8.gz,0,1,,,6,,,66.24%,2d 8h 24m 37s,
rwlock_downgrade_read_test,strontium,ls-id-log-20160429181841.log.xZ6E41.gz,0,1,,,6,,,0.59%,20d 9h 5m 37s,
rwlock_downgrade_read_test,sulfur,ls-id-log-20160517165414.log.JQYb1r.gz,0,1,,,5,,,6.59%,5d 1h 44m 48s,
rwlock_downgrade_read_test,tantalum,ls-id-log-20160503023019.log.dS1Bb5.gz,0,1,,,1,,,0.00%,541902y 69d 15h 8m 42s,
rwlock_downgrade_read_test,technetium,ls-id-log-20160517034941.log.L9NXEe.gz,1,0,23030052,,1,16,,,,landslide-trace-1463471391.24.html
rwlock_downgrade_read_test,tellurium,ls-id-log-20160503023031.log.Nq6oEa.gz,1,0,30127595,,1,21,,,,landslide-trace-1462257046.76.html
rwlock_downgrade_read_test,terbium,ls-id-log-20160505224053.log.PXl0Hk.gz,0,1,,,10,,,38.74%,2h 52m 55s,
rwlock_downgrade_read_test,thulium,ls-id-log-20160503022959.log.pUEE4d.gz,0,1,,,12,,,31.84%,3h 59m 52s,
rwlock_downgrade_read_test,tin,ls-id-log-20160429181859.log.arOOau.gz,0,1,,,3,,,78.45%,2d 10h 34m 16s,
rwlock_downgrade_read_test,titanium,ls-id-log-20160803021413.log.lqNlkz.gz,0,1,,,1,,,75.03%,317d 19h 46m 22s,
rwlock_downgrade_read_test,tungsten,ls-id-log-20160503023036.log.qVSr4J.gz,0,1,,,7,,,19.04%,27d 9h 23m 19s,
rwlock_downgrade_read_test,vanadium,ls-id-log-20160429191150.log.rSLaCe.gz,0,1,,,7,,,3.78%,4d 41m 26s,
rwlock_downgrade_read_test,xenon,ls-id-log-20160429182459.log.cIP9SF.gz,0,1,,,3,,,25.10%,2d 19h 1m 35s,
rwlock_downgrade_read_test,ytterbium,ls-id-log-20160429190102.log.9xAljN.gz,0,0,,4154134594,12,878,10m 43s,,,
rwlock_downgrade_read_test,yttrium,ls-id-log-20160517165434.log.KxbP5D.gz,0,1,,,5,,,8.60%,10d 2h 34m 44s,
rwlock_downgrade_read_test,zinc,ls-id-log-20160430142416.log.YhkGP1.gz,1,0,37273033,,1,17,,,,landslide-trace-1462040669.24.html
rwlock_downgrade_read_test,zirconium,ls-id-log-20160430154242.log.P4ukGs.gz,1,0,9312950086,,2,47,,,,landslide-trace-1462045374.88.html
thr_exit_join,aluminum,ls-id-log-20160430142659.log.6h8e8U.gz,0,0,,236412325,8,171,46s,,,
thr_exit_join,antimony,ls-id-log-20160429220614.log.HRXJb7.gz,0,0,,557536792,8,105,1m 47s,,,
thr_exit_join,argon,ls-id-log-20160503114957.log.BGC48P.gz,0,0,,405509815,8,211,1m 9s,,,
thr_exit_join,arsenic,ls-id-log-20160430142610.log.4yNpWV.gz,1,0,35478313,,1,10,,,,landslide-trace-1462040786.05.html
thr_exit_join,barium,ls-id-log-20160503023131.log.a9lTBD.gz,0,0,,22675899,1,5,8s,,,
thr_exit_join,beryllium,ls-id-log-20160503073327.log.CuadUB.gz,0,0,,1141877451,8,255,4m 29s,,,
thr_exit_join,boron,ls-id-log-20160430055830.log.ZzKnBF.gz,0,0,,284152653,7,120,1m 9s,,,
thr_exit_join,bromine,ls-id-log-20160503075329.log.h6AjDW.gz,0,0,,6228370318,11,2268,14m 16s,,,
thr_exit_join,cadmium,ls-id-log-20160503023208.log.1YLjFq.gz,0,0,,2668833678,11,1028,7m 47s,,,
thr_exit_join,caesium,ls-id-log-20160429181849.log.fbdwvV.gz,1,0,42616982,,2,19,,,,landslide-trace-1461968341.89.html
thr_exit_join,calcium,ls-id-log-20160430010826.log.TWZPI3.gz,1,0,26134737,,1,3,,,,landslide-trace-1461992922.24.html
thr_exit_join,carbon,ls-id-log-20160503123110.log.uebmdL.gz,1,0,22910442,,1,10,,,,landslide-trace-1462293082.02.html
thr_exit_join,cerium,ls-id-log-20160503123637.log.p9fKgi.gz,0,0,,36234560,3,20,15s,,,
thr_exit_join,chlorine,ls-id-log-20160430125551.log.H3WF5I.gz,0,0,,2085364643,7,1341,11m 44s,,,
thr_exit_join,chromium,ls-id-log-20160430051656.log.PbWDwr.gz,0,0,,8235546863,15,2199,17m 50s,,,
thr_exit_join,cobalt,ls-id-log-20160429181844.log.6Ezka1.gz,0,0,,13714534291,11,6040,40m 56s,,,
thr_exit_join,copper,ls-id-log-20160430133131.log.Sf87hl.gz,1,0,44095061,,2,9,,,,landslide-trace-1462037508.75.html
thr_exit_join,dysprosium,ls-id-log-20160429181856.log.vPoCCd.gz,0,0,,83843487,6,30,27s,,,
thr_exit_join,erbium,ls-id-log-20160430053047.log.itIhkD.gz,0,0,,617047589,8,309,2m 12s,,,
thr_exit_join,europium,ls-id-log-20160505231307.log.hqzAW4.gz,0,1,,,6,,,31.35%,1d 11h 57m 21s,
thr_exit_join,fluorine,ls-id-log-20160503022959.log.m3xB1R.gz,0,1,,,11,,,7.36%,26d 18h 5m 46s,
thr_exit_join,gadolinium,ls-id-log-20160503025437.log.MLbeGl.gz,0,0,,7165278419,8,5409,27m 34s,,,
thr_exit_join,gallium,ls-id-log-20160430051239.log.2nTwii.gz,0,1,,,5,,,51.61%,9d 11h 49m 37s,
thr_exit_join,germanium,ls-id-log-20160430073906.log.PtoahZ.gz,0,0,,59232991,4,12,20s,,,
thr_exit_join,gold,ls-id-log-20160517035006.log.Yfff9W.gz,0,0,,5681777560,13,3499,12m 44s,,,
thr_exit_join,hafnium,ls-id-log-20160430154438.log.9UhUfg.gz,0,0,,253311263,8,135,56s,,,
thr_exit_join,helium,ls-id-log-20160503123638.log.lJcNdh.gz,0,0,,97367813,4,28,34s,,,
thr_exit_join,holmium,ls-id-log-20160503023031.log.MvF0WP.gz,0,0,,2584473333,9,585,9m 20s,,,
thr_exit_join,hydrogen,ls-id-log-20160429181841.log.yjSe4p.gz,0,0,,164791525,6,49,38s,,,
thr_exit_join,indium,ls-id-log-20160430151604.log.NjAIpo.gz,1,0,54864238,,1,3,,,,landslide-trace-1462043774.7.html
thr_exit_join,iodine,ls-id-log-20160503023008.log.hSb2HR.gz,0,0,,19541212957,14,7120,40m 7s,,,
thr_exit_join,iridium,ls-id-log-20160430143713.log.XyghBU.gz,0,0,,1545493199,11,620,4m 24s,,,
thr_exit_join,iron,ls-id-log-20160503023003.log.TEz9nx.gz,0,0,,35424342,5,13,12s,,,
thr_exit_join,kyrpton,ls-id-log-20160505224113.log.pQsH5L.gz,0,0,,227154863,6,108,1m 0s,,,
thr_exit_join,lanthanum,ls-id-log-20160503045449.log.yEji6D.gz,0,1,,,1,,,50.00%,9h 59m 45s,
thr_exit_join,lithium,ls-id-log-20160505224058.log.oGNPZ8.gz,0,1,,,5,,,28.92%,1d 2h 33m 26s,
thr_exit_join,lutetium,ls-id-log-20160430151329.log.7hekD1.gz,0,0,,477797586,10,170,1m 30s,,,
thr_exit_join,magnesium,ls-id-log-20160505224102.log.CUwOOQ.gz,0,0,,379292947,6,125,1m 42s,,,
thr_exit_join,manganese,ls-id-log-20160506084107.log.4wcCBp.gz,0,0,,23362060,3,7,8s,,,
thr_exit_join,molybdenum,ls-id-log-20160505224038.log.ICVK9v.gz,0,0,,1602825287,8,630,6m 0s,,,
thr_exit_join,neodymium,ls-id-log-20160430154240.log.uuNFZZ.gz,0,0,,2867591640,11,1203,7m 39s,,,
thr_exit_join,neon,ls-id-log-20160430045336.log.nSaT0a.gz,0,1,,,9,,,35.03%,5h 30m 25s,
thr_exit_join,nickel,ls-id-log-20160505224046.log.2y35J7.gz,0,1,,,8,,,28.18%,7d 9h 38m 40s,
thr_exit_join,niobium,ls-id-log-20160503123638.log.x26KWj.gz,0,0,,235531916,7,212,1m 1s,,,
thr_exit_join,nitrogen,ls-id-log-20160429181856.log.FbRuLb.gz,0,0,,966141736,7,290,3m 49s,,,
thr_exit_join,osmium,ls-id-log-20160503023028.log.4dTNaB.gz,1,0,26704748,,1,2,,,,landslide-trace-1462257042.39.html
thr_exit_join,oxygen,ls-id-log-20160505224044.log.u2AFvh.gz,0,1,,,10,,,95.85%,13m 13s,
thr_exit_join,palladium,ls-id-log-20160429213040.log.LrNZod.gz,0,0,,3514887057,9,879,12m 14s,,,
thr_exit_join,phosphorus,ls-id-log-20160429181822.log.5U1NLr.gz,0,0,,13628076879,9,2142,47m 28s,,,
thr_exit_join,platinum,ls-id-log-20160430052340.log.GnyfKt.gz,0,1,,,7,,,3.18%,7y 319d 2h 2m 34s,
thr_exit_join,potassium,ls-id-log-20160518015641.log.tc7laS.gz,0,1,,,5,,,0.01%,4y 119d 15h 4m 47s,
thr_exit_join,praseodymium,ls-id-log-20160429181825.log.zSMhc3.gz,0,0,,747149536,8,297,2m 23s,,,
thr_exit_join,promethium,ls-id-log-20160429182507.log.2ClldU.gz,0,0,,6996433243,10,1776,22m 6s,,,
thr_exit_join,rhenium,ls-id-log-20160429182352.log.vgSeLZ.gz,0,0,,29599517,3,6,11s,,,
thr_exit_join,rhodium,ls-id-log-20160430042715.log.ISxCCD.gz,0,0,,39456863,2,6,19s,,,
thr_exit_join,rubidium,ls-id-log-20160503023026.log.EBAyxt.gz,0,0,,52818638,4,20,18s,,,
thr_exit_join,ruthenium,ls-id-log-20160429181901.log.PLZZQA.gz,1,0,31120020,,1,3,,,,landslide-trace-1461968357.82.html
thr_exit_join,samarium,ls-id-log-20160430174304.log.AkMfcg.gz,0,0,,421368402,11,145,1m 6s,,,
thr_exit_join,scandium,ls-id-log-20160430080151.log.lleJBs.gz,1,0,47049324,,2,15,,,,landslide-trace-1462017724.58.html
thr_exit_join,selenium,ls-id-log-20160429182437.log.cfDM65.gz,1,0,27683600,,1,5,,,,landslide-trace-1461968690.35.html
thr_exit_join,silicon,ls-id-log-20160505224048.log.MJKH24.gz,0,0,,16832690870,13,7215,32m 7s,,,
thr_exit_join,silver,ls-id-log-20160503023007.log.KwiBdm.gz,0,0,,1427009385,9,173,2m 29s,,,
thr_exit_join,sodium,ls-id-log-20160430042527.log.cg3v8U.gz,0,0,,13078874904,11,4320,32m 14s,,,
thr_exit_join,strontium,ls-id-log-20160518015643.log.x8b3wM.gz,0,1,,,9,,,94.02%,22m 23s,
thr_exit_join,sulfur,ls-id-log-20160429181822.log.yEtkD6.gz,0,1,,,7,,,22.03%,34d 17h 28m 8s,
thr_exit_join,tantalum,ls-id-log-20160505224120.log.dplN2W.gz,0,1,,,1,,,0.03%,91y 225d 17h 29m 14s,
thr_exit_join,technetium,ls-id-log-20160430180527.log.xFa1Ul.gz,0,0,,1520091412,10,328,4m 26s,,,
thr_exit_join,tellurium,ls-id-log-20160430044242.log.s6fqzt.gz,1,0,24221485,,1,18,,,,landslide-trace-1462005775.61.html
thr_exit_join,terbium,ls-id-log-20160503023117.log.lXgRAI.gz,0,0,,267642236,8,108,1m 6s,,,
thr_exit_join,thulium,ls-id-log-20160430080156.log.SeoUOZ.gz,0,0,,170261008,9,46,38s,,,
thr_exit_join,tin,ls-id-log-20160430051949.log.OxwbpT.gz,0,0,,6923649000,11,1726,16m 29s,,,
thr_exit_join,titanium,ls-id-log-20160803021349.log.ZCd9kd.gz,0,1,,,6,,,79.39%,2h 13m 36s,
thr_exit_join,tungsten,ls-id-log-20160429182414.log.dvzsPg.gz,0,0,,948338811,8,211,3m 3s,,,
thr_exit_join,vanadium,ls-id-log-20160505224119.log.ifAFoy.gz,0,1,,,11,,,63.56%,6h 49m 0s,
thr_exit_join,xenon,ls-id-log-20160430072751.log.7Vej1X.gz,0,1,,,6,,,53.61%,9d 10h 22m 26s,
thr_exit_join,ytterbium,ls-id-log-20160430042849.log.Oqjg3i.gz,0,0,,75490595,5,26,24s,,,
thr_exit_join,yttrium,ls-id-log-20160517165407.log.sMFFVY.gz,0,1,,,10,,,49.29%,1h 13m 23s,
thr_exit_join,zinc,ls-id-log-20160503023013.log.oF1MEW.gz,1,0,59166381,,2,6,,,,landslide-trace-1462257026.95.html
thr_exit_join,zirconium,ls-id-log-20160503023009.log.Spb4G3.gz,1,0,226091492,,2,54,,,,landslide-trace-1462257020.41.html
wait-simple,afghanistan,ls-id-log-20160111224125.log.AlgpyZ.gz,1,0,98468451,,2,11,,,,landslide-trace-1452570100.1.html
wait-simple,algeria,ls-id-log-20160111231845.log.WcxotL.gz,1,0,42407083,,1,2,,,,landslide-trace-1452572341.82.html
wait-simple,angola,ls-id-log-20160111224055.log.EfYMf3.gz,1,0,28201192,,1,2,,,,landslide-trace-1452570069.04.html
wait-simple,australia,ls-id-log-20160111223643.log.IZ1zvP.gz,1,0,203697732,,1,5,,,,landslide-trace-1452569817.36.html
wait-simple,austria,ls-id-log-20160111223611.log.4mX1na.gz,0,0,,1115167331,9,192,2m 46s,,,
wait-simple,benelux,ls-id-log-20160804173042.log.X4Ksfk.gz,0,1,,,7,,,5.73%,1d 18h 14m 56s,
wait-simple,bulgaria,ls-id-log-20160111231302.log.OlpnPb.gz,1,0,40656458,,1,2,,,,landslide-trace-1452571998.74.html
wait-simple,burma,ls-id-log-20160111223632.log.tFJZ3s.gz,0,0,,1065712461,8,135,3m 38s,,,
wait-simple,cameroon,ls-id-log-20160111223617.log.xxveY7.gz,1,0,28357988,,1,3,,,,landslide-trace-1452569788.77.html
wait-simple,chile,ls-id-log-20160112084124.log.aQczn2.gz,0,1,,,6,,,6.26%,1d 12h 24m 39s,
wait-simple,colombia,ls-id-log-20160112185951.log.42QkRU.gz,0,1,,,12,,,58.93%,49m 54s,
wait-simple,costarica,ls-id-log-20160112083750.log.IQUVsO.gz,0,1,,,13,,,99.39%,31s,
wait-simple,denmark,ls-id-log-20160111230820.log.SVM4oB.gz,0,1,,,8,,,54.60%,1h 27m 30s,
wait-simple,eastgermany,ls-id-log-20160111223636.log.1H9YjP.gz,0,0,,25397530535,10,5325,1h 1m 29s,,,
wait-simple,ecuador,ls-id-log-20160111223620.log.aTHfKx.gz,1,0,24933625,,1,2,,,,landslide-trace-1452569794.06.html
wait-simple,egypt,ls-id-log-20160111223716.log.2N1b8D.gz,1,0,35678350,,1,2,,,,landslide-trace-1452569851.35.html
wait-simple,elsalvador,ls-id-log-20160112185951.log.7dC10n.gz,1,0,37661773,,1,8,,,,landslide-trace-1452643203.71.html
wait-simple,ethiopia,ls-id-log-20160111223609.log.FLLW0j.gz,0,1,,,4,,,0.09%,2526y 259d 47m 24s,
wait-simple,france,ls-id-log-20160111224047.log.NiOs0a.gz,0,1,,,9,,,18.57%,8h 13m 13s,
wait-simple,greece,ls-id-log-20160111223607.log.Uy8uxj.gz,1,0,30426408,,1,2,,,,landslide-trace-1452569781.37.html
wait-simple,guatemala,ls-id-log-20160112083756.log.MUkhex.gz,0,1,,,8,,,47.39%,4h 25m 59s,
wait-simple,hungary,ls-id-log-20160111224642.log.gin0Dr.gz,1,0,42415453,,1,23,,,,landslide-trace-1452570413.4.html
wait-simple,india,ls-id-log-20160112084219.log.CJ3Ojv.gz,0,1,,,7,,,25.56%,6h 51m 37s,
wait-simple,iran,ls-id-log-20160111232908.log.Uw3Efb.gz,0,1,,,5,,,0.08%,8d 15h 27m 13s,
wait-simple,iraq,ls-id-log-20160111223620.log.15fcry.gz,0,1,,,7,,,7.46%,1d 37m 12s,
wait-simple,ivorycoast,ls-id-log-20160804153236.log.rx7hFa.gz,1,0,176063602,,2,147,,,,landslide-trace-1470339168.93.html
wait-simple,japan,ls-id-log-20160112003932.log.zhtvao.gz,1,0,90703048,,2,20,,,,landslide-trace-1452577183.32.html
wait-simple,jordan,ls-id-log-20160111223713.log.etCKYv.gz,1,0,1822282056,,1,397,,,,landslide-trace-1452569845.85.html
wait-simple,kenya,ls-id-log-20160111223647.log.nuxzIe.gz,1,0,29369156,,1,3,,,,landslide-trace-1452569820.88.html
wait-simple,laoscambodia,ls-id-log-20160111223643.log.PLg1mZ.gz,0,1,,,5,,,2.61%,6d 22h 20m 31s,
wait-simple,lebanon,ls-id-log-20160111230025.log.Gh1TxO.gz,1,0,43401920,,1,3,,,,landslide-trace-1452571244.58.html
wait-simple,libya,ls-id-log-20160112185955.log.Sp7mTC.gz,0,0,,6289471104,10,1200,16m 29s,,,
wait-simple,malaysia,ls-id-log-20160111223652.log.0zYu2N.gz,0,1,,,5,,,1.71%,8d 1h 37m 38s,
wait-simple,pakistan,ls-id-log-20160111223724.log.Hq7TcQ.gz,1,0,39009234,,1,2,,,,landslide-trace-1452569858.26.html
wait-simple,panama,ls-id-log-20160111224107.log.tFfmBh.gz,1,0,43058284,,1,6,,,,landslide-trace-1452570083.46.html
wait-simple,paraguay,ls-id-log-20160111235441.log.dt6Kv0.gz,1,0,22365011,,1,2,,,,landslide-trace-1452574492.8.html
wait-simple,peru,ls-id-log-20160111223622.log.2cfOLl.gz,0,0,,26912149,1,3,13s,,,
wait-simple,poland,ls-id-log-20160111223621.log.HMkCDT.gz,1,0,33148144,,1,2,,,,landslide-trace-1452569796.87.html
wait-simple,romania,ls-id-log-20160112083724.log.JGxdjn.gz,0,1,,,3,,,0.00%,72690y 52d 2m 44s,
wait-simple,saudiarabia,ls-id-log-20160111223632.log.2uqxIv.gz,1,0,32265829,,1,5,,,,landslide-trace-1452569804.33.html
wait-simple,southkorea,ls-id-log-20160804173037.log.NMhtwx.gz,0,1,,,5,,,2.03%,9d 13h 50m 29s,
wait-simple,sudan,ls-id-log-20160111230359.log.EVC1mn.gz,0,1,,,8,,,12.08%,9h 58m 42s,
wait-simple,sweden,ls-id-log-20160111223651.log.NgQeNU.gz,0,1,,,5,,,13.11%,3y 250d 14h 41m 1s,
wait-simple,syria,ls-id-log-20160112083809.log.Udox8p.gz,0,0,,6968654722,10,936,19m 34s,,,
wait-simple,thailand,ls-id-log-20160112083710.log.8gkGnC.gz,0,1,,,7,,,18.87%,11h 22m 43s,
wait-simple,tunisia,ls-id-log-20160111223636.log.R0xAf1.gz,0,1,,,5,,,1.83%,11d 22h 24m 38s,
wait-simple,turkey,ls-id-log-20160111223610.log.OtkH4a.gz,1,0,23134406,,1,3,,,,landslide-trace-1452569780.87.html
wait-simple,venezuela,ls-id-log-20160111232418.log.E8iZYe.gz,1,0,22510164,,1,2,,,,landslide-trace-1452572669.78.html
wait-simple,vietnam,ls-id-log-20160111223808.log.5eoi0L.gz,1,0,39073309,,1,2,,,,landslide-trace-1452569904.07.html
wait-simple,yugoslavia,ls-id-log-20160112185955.log.1Lvhzq.gz,0,1,,,1,,,0.00%,INF,
wait-simple,zaire,ls-id-log-20160111223620.log.OE4oOB.gz,0,0,,28061677,1,2,12s,,,
wait-simple,zimbabwe,ls-id-log-20160111223635.log.yDWAPO.gz,0,1,,,9,,,5.34%,4h 21m 47s,
